size,raz time,fingertree time
10000,26026,32142
20000,60770,56084
30000,99469,94582
40000,141063,126160
50000,191298,149754
60000,238283,190314
70000,276909,239665
80000,321074,273754
90000,377804,285398
100000,432974,351512
110000,514050,388775
120000,574486,419698
130000,581641,470177
140000,664600,503849
150000,688884,556870
160000,738814,573018
170000,839075,643135
180000,836515,694388
190000,998472,704101
200000,1037541,805340
210000,1043823,831648
220000,1159575,963246
230000,1222384,1057231
240000,1318395,968794
250000,1374180,1051071
260000,1595097,1153855
270000,1568910,1201296
280000,1585113,1286865
290000,1708798,1267747
300000,1768848,1442355
310000,1812009,1273467
320000,1871802,1457827
330000,1958383,1516961
340000,1996778,1483110
350000,2302690,1472091
360000,2148691,1650796
370000,2175900,1727372
380000,2363913,1744658
390000,2377013,1897762
400000,2448817,1736860
410000,2593027,1932709
420000,2580915,2014138
430000,2655014,2007447
440000,2741041,1955088
450000,2690190,2230232
460000,2732631,1916855
470000,2866232,2256961
480000,3649183,2358959
490000,3677641,3055543
500000,3586570,2652005
510000,3771828,2633923
520000,3897859,2714481
530000,3210261,2481950
540000,3451498,2571563
550000,3565953,2756821
560000,3465489,2447496
570000,3615492,2689797
580000,3753916,2709528
590000,3887677,2835540
600000,3895241,2621341
610000,4094131,3159458
620000,4224259,3194416
630000,3984797,3004257
640000,4444516,3407184
650000,4299449,3151458
660000,4227984,3306407
670000,4635333,3271005
680000,4630710,3484348
690000,4617792,3373676
700000,4723360,3319288
710000,4902451,3415238
720000,5186878,3810303
730000,5353981,4183186
740000,6511515,4377886
750000,5558713,4076764
760000,7392623,3931696
770000,5672807,4334822
780000,6067306,3954236
790000,6589406,4256591
800000,6099119,4109131
810000,6875459,4606940
820000,6510038,5038415
830000,6295687,4573585
840000,6361789,4578951
850000,5941562,4537825
860000,6394863,4315316
870000,6062670,4323120
880000,6510711,4510879
890000,6866491,4318910
900000,6657845,4732209
910000,6932429,4270078
920000,6674795,4547822
930000,7160007,4782154
940000,7337291,4744548
950000,7048836,4771758
960000,7293116,4722717
970000,10463462,5098386
980000,7432840,5401732
990000,7220114,5402989
1000000,7508888,5097814
