size,height,expected height,variance height,avg leaf depth,variance leaf depth
64,13,6.0,7.0,7.8,6.037499999999997
128,16,7.0,9.0,9.372093023255815,8.563590116279057
256,16,8.0,8.0,9.949416342412452,6.04040004863814
512,18,9.0,9.0,11.2729044834308,7.589440180311868
1024,20,10.0,10.0,12.55219512195122,8.712360899390227
4096,28,12.0,16.0,15.593605076885526,12.027429798099227
8192,30,12.999999,17.0,16.928353472476505,13.55480267191725
9000,30,13.135709,16.864292,17.241084323964003,13.360094112999679
9500,30,13.213712,16.78629,17.168508578044417,13.078654501742323
10000,30,13.287712,16.712288,17.433356664333566,13.823183221678372
12000,31,13.550747,17.449253,17.96983584701275,14.542256714717361
20000,33,14.287712,18.712288,18.880105994700266,15.571124708763701
40000,36,15.287712,20.712288,19.93927651808705,16.69318756656225
60000,40,15.872675,24.127325,21.450859152347462,21.363355970177
100000,41,16.60964,24.39036,21.804971950280496,19.56369367946353
200000,44,17.60964,26.39036,23.71756141219294,20.120268045271523
500000,50,18.931568,31.068432,24.51982496035008,20.59363147014686
1000000,51,19.931568,31.068432,26.14041685958314,23.399846085831594
10000000,59,23.253496,35.746506,30.94353680564632,26.75031090699983
