396,1280,6
485,1280,6
163,640,5
224,640,5
774,2560,7
400,1280,6
899,2560,7
201,640,5
293,640,5
219,640,5
45,160,3
652,2560,7
549,1280,6
416,1280,6
333,1280,6
291,640,5
959,2560,7
890,2560,7
60,160,3
769,2560,7
723,2560,7
852,2560,7
307,1280,6
90,320,4
149,640,5
134,320,4
250,640,5
998,2560,7
818,2560,7
97,320,4
313,1280,6
789,2560,7
135,320,4
657,2560,7
846,2560,7
698,2560,7
85,320,4
664,2560,7
69,320,4
302,640,5
287,640,5
564,1280,6
322,1280,6
276,640,5
365,1280,6
422,1280,6
718,2560,7
836,2560,7
825,2560,7
118,320,4
31,80,2
644,2560,7
851,2560,7
372,1280,6
44,160,3
496,1280,6
654,2560,7
345,1280,6
706,2560,7
547,1280,6
565,1280,6
854,2560,7
962,2560,7
562,1280,6
265,640,5
203,640,5
407,1280,6
901,2560,7
79,320,4
358,1280,6
805,2560,7
595,1280,6
733,2560,7
453,1280,6
522,1280,6
209,640,5
870,2560,7
586,1280,6
787,2560,7
1007,2560,7
584,1280,6
879,2560,7
596,1280,6
186,640,5
892,2560,7
257,640,5
495,1280,6
603,1280,6
712,2560,7
239,640,5
46,160,3
57,160,3
417,1280,6
868,2560,7
969,2560,7
619,1280,6
781,2560,7
15,40,1
604,1280,6
819,2560,7
48,160,3
268,640,5
231,640,5
905,2560,7
29,80,2
379,1280,6
1011,2560,7
902,2560,7
37,80,2
624,1280,6
529,1280,6
328,1280,6
568,1280,6
799,2560,7
812,2560,7
711,2560,7
468,1280,6
361,1280,6
847,2560,7
954,2560,7
108,320,4
225,640,5
168,640,5
707,2560,7
848,2560,7
470,1280,6
865,2560,7
908,2560,7
474,1280,6
886,2560,7
200,640,5
861,2560,7
248,640,5
684,2560,7
929,2560,7
958,2560,7
893,2560,7
1010,2560,7
72,320,4
450,1280,6
84,320,4
144,320,4
30,80,2
656,2560,7
824,2560,7
505,1280,6
563,1280,6
993,2560,7
506,1280,6
33,80,2
448,1280,6
507,1280,6
743,2560,7
195,640,5
803,2560,7
709,2560,7
755,2560,7
198,640,5
694,2560,7
126,320,4
393,1280,6
1009,2560,7
234,640,5
172,640,5
626,1280,6
210,640,5
441,1280,6
329,1280,6
722,2560,7
419,1280,6
51,160,3
306,640,5
427,1280,6
719,2560,7
155,640,5
301,640,5
116,320,4
527,1280,6
26,80,2
605,1280,6
936,2560,7
162,640,5
410,1280,6
996,2560,7
696,2560,7
150,640,5
384,1280,6
804,2560,7
471,1280,6
860,2560,7
904,2560,7
938,2560,7
632,1280,6
423,1280,6
625,1280,6
820,2560,7
713,2560,7
739,2560,7
424,1280,6
52,160,3
995,2560,7
823,2560,7
766,2560,7
147,320,4
63,320,4
762,2560,7
594,1280,6
61,160,3
546,1280,6
925,2560,7
974,2560,7
932,2560,7
314,640,5
132,320,4
193,640,5
665,2560,7
181,640,5
312,1280,6
978,2560,7
700,2560,7
42,160,3
906,2560,7
877,2560,7
490,1280,6
591,1280,6
247,640,5
43,160,3
308,1280,6
554,1280,6
128,320,4
59,320,4
14,40,1
216,640,5
515,1280,6
440,1280,6
939,2560,7
288,640,5
270,640,5
390,1280,6
211,640,5
944,2560,7
668,2560,7
289,640,5
911,2560,7
764,2560,7
